FRB,RA,DEC,DM_obs,DM_MW,redshift
FRB20181223C,12:03:41.0,+27:32:51.36,111.61,19.9,0.03024
FRB20190303A,13:51:59.0,+48:07:15.96,223.2,29.8,0.064
FRB20190418A,04:23:15.0,+16:04:25.68,182.78,70.2,0.07132
FRB20200223B,00:33:04.7,+28:49:02.88,201.8,45.6,0.06024
FRB20200723B,12:40:38.0,-05:08:06.00,244,33,0.0085
FRB20201124A,05:08:03.5,+26:03:38.52,413.52,139.9,0.098
FRB20211127I,13:19:13.9,-18:50:16.08,234.83,42.5,0.0469
FRB20211212A,10:29:24.2,+01:40:36.80,206,27.1,0.0715
FRB20220207C,20:40:47.9,+72:52:56.28,262.38,76.1,0.04304
FRB20220509G,18:50:40.8,+70:14:37.68,269.53,55.6,0.0894
FRB20220717A,19:33:13.0,-19:17:15.72,637.34,118.3,0.36295
FRB20230124A,15:27:39.9,+70:58:05.16,590.574,38.6,0.0939
FRB20230203A,10:06:38.7,+35:41:38.76,420.1,67.299,0.1464
FRB20230222A,07:07:50.5,+11:13:28.20,706.1,33.31,0.1223
FRB20230222B,15:55:27.4,+30:53:55.32,187.8,56.9977,0.11
FRB20230311A,06:04:26.3,+55:56:45.42,364.3,67.2352,0.1918
FRB20230506C,00:48:23.9,+42:00:21.96,772,68,0.3896
FRB20230703A,12:18:29.9,+48:43:47.76,291.3,38.1566,0.1184
FRB20230730A,03:38:39.7,+33:09:33.48,312.5,114.6465,0.2115
FRB20230808F,03:33:12.9,-51:56:07.08,653.2,31,0.3472
FRB20230930A,00:42:00.0,+41:24:00.00,456,70,0.0925
FRB20231011A,01:12:57.8,+41:44:56.76,186.3,58.5524,0.0783
FRB20231017A,23:07:01.0,+36:39:09.60,344.2,31.1515,0.245
FRB20231025B,18:03:09.1,+63:59:20.64,368.7,65.5787,0.3238
FRB20231120A,09:34:28.0,+71:45:26.64,438.9,43.8,0.07
FRB20231123A,05:30:29.6,+04:28:32.04,302.1,37.1085,0.0729
FRB20231128A,13:18:18.7,+42:59:33.72,331.6,64.7368,0.1079
FRB20231204A,13:51:59.8,+48:06:57.60,221,34.9372,0.0644
FRB20231206A,07:29:46.3,+56:15:22.56,457.7,37.5114,0.0659
FRB20231229A,01:45:52.3,+35:06:46.56,198.5,65.1335,0.019
FRB20231230A,04:51:11.4,+02:23:38.32,131.4,32.2305,0.0298
FRB20240201A,09:59:37.3,+14:05:16.80,374.5,38.6,0.042729
FRB20240209A,19:19:24.1,+86:03:39.24,176.518,63.1,0.1384
FRB20240210A,00:35:07.1,-28:16:14.88,283.73,28.7,0.023686
FRB20240304A,09:05:19.3,-16:13:41.52,652.6,73.9,0.2423
